"Explicit Phrase","Clean Alternative"
"This got me hooked","This got me cooked/ This got me blasted"
"Take some xanax to calm down","Take a breather to calm down"
"Need my vyvanse to focus","Need my morning coffee to focus"
"Take ritalin to concentrate","Take the time to concentrate"
"Sip on that codeine lean","Sip on those vitamins queen"
"Popped a klonopin to sleep","Popped some melatonin to sleep"
"Crush up the tramadol","Crush up the energy goals"
"Get me a valium to calm down","Get me some chamomile to calm down"
"wellbutrin keeps me sane","Fitness keeps me sane"
"I take a zoloft in the morning","I take a smoothie in the morning "
"Got some hydrocodone prescribed","Got some supplements prescribed"
"Daily prozac","Daily vitamins"
"methylphenidate helps me focus","Meditation helps me focus"
"concerta for the grind","Caffeine for the grind"
"Need some vicodin to cope","Need some painkillers to cope"
"Just popped some ambien","Just popped some downers"
"Just popped some downers","Just popped some advil"
"Morphine in the IV","Wellness in the IV"
"Modafinil keeps me up","Caffeine keeps me up"
"Gabapentin prescription","My supplement prescription"
"Got ativan on deck","Got aspirin on deck"
"Clonazepam at night","Melatonin at night"
"Visit the clinic for the methadone supply","Visit the clinic for the wellbeing supply"
"Dexedrine for energy","B-12 for energy"
"Percocet for my back","Heating pad for my back"
"Propranolol for anxiety","Deep breathing for anxiety"
"Lorazepam helps me cope","Exercise helps me cope"
"On that suboxone detox program","On that wellness detox program"
"Effexor every day","Self-care every day"
"Paxil in my system","Balance in my system"
"Venlafaxine prescribed","My vitamins prescribed"
"He relies a bit too much on viagra lately","He relies a bit too much on the little blue pill lately"
"Oxycontin got me numb","NSAIDs got me numb"
"Norco for the pain","Ice pack for the pain"
"Zolpidem helps with insomnia","Lavender helps with insomnia"
"Buprenorphine treatment","Holistic treatment"
"Robotussin for my cough","Honey tea for my cough"
"Keep that narcan spray on hand","Keep that first aid kit on hand"
"Provigil-fueled productivity","Naturally-fueled productivity"
"Subutex recovery","Full recovery"
"Rolling on mdma tonight","Rolling with good vibes tonight"
"Dropped some lsd tabs","Dropped some nature tabs"
"Smoking that weed daily","Sipping that tea daily"
"Acid trip this weekend","Road trip this weekend"
"Got them shrooms growing","Got them blooms growing"
"Marijuana in my pocket","No bills in my pocket"
"Lines of cocaine are ready","Lined-up cocktails are ready"
"He's got the best coke I ever tried","He's got the best candy I ever tried"
"Cooking up that meth","Cooking up that chef"
"Amphetamine rush hits","Adrenaline rush hits"
"Smoking pot all day","Drinking tea all day"
"Cannabis in the bowl","Chamomile in the bowl"
"Ketamine in the club","Energy in the club"
"Heroin in my veins","Music in my veins"
"It’s Ecstasy Friday","It’s Fantasy Friday"
"Smoking that crack pipe","Blowing that sax type"
"Kratom tea brewing","Green tea brewing"
"GHB in the drink","Ginger shot in the drink"
"Psilocybin journey","A visionary journey"
"Opium den sessions","Yoga den sessions"
"Hash in the hookah","Mint in the hookah"
"Fentanyl so strong","Feelings so strong"
"Angel dust PCP","Pixie dust PCP"
"Ayahuasca ceremony","Yoga ceremony"
"Methamphetamine binge","Caffeine binge"
"CBD and THC","CBD and vitamin C"
"Peyote in the desert","Peace out in the desert"
"Let me get that molly","Let me get that Rollie"
"Smoking ice tonight","Smoking one tonight"
"Rolling on E","Rolling with glee"
"Got that boy on me","Got that joy on me"
"Special K for days","Special way for days"
"Buy me a g","Buy me one grain"
"Looking for tina","Looking for Gina"
"Lucy in the sky","Juicy in the sky"
"Got that H nearby","Got that tea nearby"
"Need some oxy quick","Need some proxy quick"
"Where's the hero at","Where's the gyro at"
"Harry's got the stuff","Berry's got the stuff"
"Eve's got the rolls","Steve's got the rolls"
"Riding that white horse","Riding that wild course"
"Got that smack ready","Got that snack ready"
"Need them percs today","Need them perks today"
"Ketamine intake","Vitamin k intake"
"That hydro grows","That garden grows"
"MPH for focus","BPM for focus"
"XTC on the weekend","Fantasy on the weekend"
"Mary jane's calling","Daisy chain's calling"
"Drone's got me flying","Zone's got me trying"
"Need them uppers now","Need them uppers now"
"Got that dope flow","Got that hope flow"
"Drinking all that booze","Drinking all that juice"
"Taking dabs tonight","Taking cabs tonight"
"Ate them brownies quick","Ate them cookies quick"
"Chalk in the baggie","Talk in the alley"
"Crank keeps me going","Thanks keeps me going"
"Black tar sessions","Guitar sessions"
"Purple haze amazing","Purple blaze amazing"
"Mandy's at the party","Sandy's at the party"
"Got that shatter wax","Got that batter facts"
"Smoking all that dank","Smoking all that "
"K2 synthetic high","Tea to energize"
"OG kush premium","OG push premium"
"Ganja in the air","Mango in the air"
"Reefer in my lungs","Breather in my lungs"
"She must've been on zoomers","She must've been on shrooms"
"Open that bag of skittles","Pop open that medicine cabinet"
"Got that yayo white","Got that mayo light"
"Roxy thirty blues","Proxy thirty crews"
"Pass her a roofie","Pass her a smoothie"
"That skunk is loud","That funk is loud"
"Medical mmj card","Medical wellness card"
"Got them bars tonight","Got them stars tonight"
"That bud is fire","That suds inspire"
"Popping caps daily","Dropping laps daily"
"Crystal in the pipe","Whistle in the night"
"Snow on the mirror","Glow on the clearer"
"Trees in the grinder","Breeze in the finder"
"Got them rolls ready","Got them goals steady"
"That raw is pure","That awe is sure"
"Dust in the air","Trust in the air"
"Taking all them stims","Taking all them hymns"
"Got a fat sack","Got a fat stack"
"Cutting up the paste","Cutting up the taste"
"Dropping that cid","Dropping that cig"
"Cut with fent","Cut with sugar"
"Doing whippets quick","Doing snippets quick"
"Got them benz on deck","Got them trends on deck"
"You got any zannies on you","You got any grams on you"
"super spice is synthetic","That spice is authentic"
"Edibles in the fridge","Gummies in the fridge"
"Got them stims buzzing","Got them ladies buzzing"
